Unnamed: 0,loan_percent_income,person_income,loan_intent,loan_grade,loan_int_rate,person_age,loan_amnt,default,predicted_default_prob,loan_status_text,past_default_text
29,0.17,11520,MEDICAL,B,11.12,21,2000,1,0.9879414298018949,Дефолт,Нет дефолтов в БКИ
30,0.27,120000,VENTURE,A,6.62,25,32000,0,0.0063438452208280805,Оплачен,Нет дефолтов в БКИ
31,0.33,95000,HOMEIMPROVEMENT,C,14.17,26,31050,1,0.4488353481644912,Дефолт,Были дефолты в БКИ
32,0.08,306000,DEBTCONSOLIDATION,C,13.85,25,24250,0,0.008086830237713062,Оплачен,Нет дефолтов в БКИ
33,0.03,300000,MEDICAL,C,13.49,26,7800,0,0.019342287676616603,Оплачен,Нет дефолтов в БКИ
34,0.21,12000,EDUCATION,A,7.51,21,2500,1,1.0,Дефолт,Нет дефолтов в БКИ
35,0.63,48000,EDUCATION,E,18.39,22,30000,1,0.9098327207201461,Дефолт,Нет дефолтов в БКИ
36,0.47,64000,DEBTCONSOLIDATION,D,14.54,24,30000,1,0.8995216308438387,Дефолт,Были дефолты в БКИ
37,0.4,75000,HOMEIMPROVEMENT,D,16.89,25,30000,1,0.5057973410988487,Дефолт,Были дефолты в БКИ
38,0.42,71500,DEBTCONSOLIDATION,D,11.011694892245036,23,30000,1,0.861396223030406,Дефолт,Нет дефолтов в БКИ
39,0.41,62050,MEDICAL,E,17.99,26,30000,1,1.0,Дефолт,Нет дефолтов в БКИ
40,0.21,12000,VENTURE,B,12.69,24,2500,1,0.9859148749451514,Дефолт,Нет дефолтов в БКИ
41,0.07,300000,VENTURE,A,7.88,26,20000,0,0.0,Оплачен,Нет дефолтов в БКИ
42,0.08,300000,EDUCATION,F,19.41,23,24250,0,0.12185932979995742,Оплачен,Были дефолты в БКИ
43,0.03,300000,HOMEIMPROVEMENT,B,10.38,26,10000,0,0.02232946502165295,Оплачен,Нет дефолтов в БКИ
44,0.08,300000,EDUCATION,D,15.33,26,25000,0,0.03153713160335462,Оплачен,Нет дефолтов в БКИ
45,0.06,300000,HOMEIMPROVEMENT,E,16.45,25,18000,0,0.09712028290684534,Оплачен,Нет дефолтов в БКИ
46,0.37,80690,PERSONAL,A,7.49,26,30000,1,0.5051132942829492,Дефолт,Нет дефолтов в БКИ
47,0.38,66300,MEDICAL,B,12.69,22,30000,1,0.7536882200964736,Дефолт,Нет дефолтов в БКИ
48,0.34,89028,DEBTCONSOLIDATION,A,6.62,26,30000,1,0.5097438771134641,Дефолт,Нет дефолтов в БКИ
49,0.38,78000,DEBTCONSOLIDATION,D,11.011694892245036,24,30000,1,0.8785628794503048,Дефолт,Были дефолты в БКИ
50,0.38,78000,DEBTCONSOLIDATION,F,18.62,23,30000,1,0.849520220720146,Дефолт,Были дефолты в БКИ
51,0.33,92004,PERSONAL,C,15.23,23,30000,1,0.4396500213726469,Дефолт,Были дефолты в БКИ
52,0.31,97000,VENTURE,B,10.65,23,30000,1,0.2540776982948759,Дефолт,Нет дефолтов в БКИ
53,0.25,120000,EDUCATION,A,7.9,25,30000,0,0.008747199097298783,Оплачен,Нет дефолтов в БКИ
54,0.04,280000,PERSONAL,C,15.96,26,10000,0,0.024678903958176287,Оплачен,Были дефолты в БКИ
55,0.07,277104,VENTURE,B,11.48,26,20000,0,0.0012841091492776886,Оплачен,Нет дефолтов в БКИ
56,0.13,277000,PERSONAL,A,11.011694892245036,23,35000,0,0.022275550081705585,Оплачен,Нет дефолтов в БКИ
57,0.23,128000,PERSONAL,A,7.29,25,30000,0,0.03860765193601265,Оплачен,Нет дефолтов в БКИ
58,0.15,12000,VENTURE,E,11.011694892245036,24,1750,0,0.3165870476641895,Оплачен,Были дефолты в БКИ
59,0.23,131000,VENTURE,A,5.99,21,30000,0,0.0,Оплачен,Нет дефолтов в БКИ
60,0.04,275000,VENTURE,B,11.58,22,12000,0,0.0012841091492776886,Оплачен,Нет дефолтов в БКИ
61,0.04,263000,EDUCATION,B,11.011694892245036,26,10000,1,0.1117815401321793,Дефолт,Нет дефолтов в БКИ
62,0.1,221850,MEDICAL,D,15.7,25,25000,1,0.883876303191234,Дефолт,Нет дефолтов в БКИ
63,0.42,70000,EDUCATION,D,15.99,22,29100,1,0.6501544275484236,Дефолт,Нет дефолтов в БКИ
64,0.13,12000,EDUCATION,D,14.84,22,1500,0,0.6244333936456042,Оплачен,Были дефолты в БКИ
65,0.11,260000,HOMEIMPROVEMENT,B,10.99,26,28000,0,0.09772874074652045,Оплачен,Нет дефолтов в БКИ
66,0.08,259000,HOMEIMPROVEMENT,D,14.42,25,20000,0,0.16642877927934582,Оплачен,Были дефолты в БКИ
67,0.04,255000,EDUCATION,A,6.99,24,9600,0,0.0020221165293514893,Оплачен,Нет дефолтов в БКИ
68,0.1,250000,MEDICAL,C,13.49,25,25000,0,0.05098852293009878,Оплачен,Нет дефолтов в БКИ
69,0.25,12000,MEDICAL,C,11.011694892245036,25,3000,1,1.0,Дефолт,Нет дефолтов в БКИ
70,0.49,56950,MEDICAL,A,11.011694892245036,22,28000,1,0.7417056100199308,Дефолт,Нет дефолтов в БКИ
71,0.25,12000,EDUCATION,C,13.61,21,3000,1,1.0,Дефолт,Были дефолты в БКИ
72,0.43,65000,EDUCATION,A,7.9,23,28000,1,0.5348339913854989,Дефолт,Нет дефолтов в БКИ
73,0.33,85000,VENTURE,A,7.49,26,28000,1,0.5288800936821992,Дефолт,Нет дефолтов в БКИ
74,0.51,12000,EDUCATION,A,7.51,26,6100,1,1.0,Дефолт,Нет дефолтов в БКИ
75,0.32,88000,VENTURE,B,9.91,22,28000,1,0.569325454162187,Дефолт,Нет дефолтов в БКИ
76,0.35,12000,PERSONAL,C,13.48,21,4200,1,1.0,Дефолт,Были дефолты в БКИ
77,0.4,12000,DEBTCONSOLIDATION,A,7.14,22,4750,1,1.0,Дефолт,Нет дефолтов в БКИ
78,0.34,83004,VENTURE,D,15.99,24,28000,1,0.6574548096660439,Дефолт,Были дефолты в БКИ
79,0.07,250000,EDUCATION,C,12.98,24,18000,0,0.03782124971987497,Оплачен,Были дефолты в БКИ
80,0.28,100000,DEBTCONSOLIDATION,B,12.69,25,28000,0,0.04357009976137146,Оплачен,Нет дефолтов в БКИ
81,0.25,110000,EDUCATION,A,8.9,26,28000,0,0.0131260459491059,Оплачен,Нет дефолтов в БКИ
82,0.23,12000,DEBTCONSOLIDATION,A,11.011694892245036,26,2700,1,1.0,Дефолт,Нет дефолтов в БКИ
83,0.26,108000,EDUCATION,B,11.011694892245036,22,28000,1,0.1462438461657156,Дефолт,Нет дефолтов в БКИ
84,0.19,151200,DEBTCONSOLIDATION,B,11.11,23,28000,0,0.02144153997888564,Оплачен,Нет дефолтов в БКИ
85,0.4,69000,HOMEIMPROVEMENT,A,11.011694892245036,24,27600,1,0.8256350409769574,Дефолт,Нет дефолтов в БКИ
86,0.27,12000,DEBTCONSOLIDATION,E,15.68,21,3250,1,1.0,Дефолт,Были дефолты в БКИ
87,0.39,70000,EDUCATION,C,13.06,22,27500,1,0.45557462842628615,Дефолт,Были дефолты в БКИ
88,0.1,240000,PERSONAL,B,11.011694892245036,22,25000,0,0.0399385498409816,Оплачен,Нет дефолтов в БКИ
89,0.37,73200,VENTURE,D,15.62,26,27050,1,0.7492412264323992,Дефолт,Были дефолты в БКИ
90,0.33,83000,PERSONAL,C,13.49,24,27000,1,0.6103873346093527,Дефолт,Были дефолты в БКИ
91,0.37,73399,VENTURE,D,11.011694892245036,24,27000,1,0.6869324649592384,Дефолт,Нет дефолтов в БКИ
92,0.42,62500,MEDICAL,B,11.71,23,26000,1,0.6000832812129884,Дефолт,Нет дефолтов в БКИ
93,0.21,120000,EDUCATION,B,12.69,23,25600,0,0.01741631777367577,Оплачен,Нет дефолтов в БКИ
94,0.13,12360,MEDICAL,C,13.57,24,1600,0,0.1057305178481649,Оплачен,Нет дефолтов в БКИ
95,0.42,60000,VENTURE,B,10.99,22,25475,1,0.6359180296266776,Дефолт,Нет дефолтов в БКИ
96,0.09,234000,MEDICAL,C,14.27,25,20000,0,0.0636557040365016,Оплачен,Были дефолты в БКИ
97,0.09,234000,HOMEIMPROVEMENT,B,8.88,24,20000,0,0.02144153997888564,Оплачен,Нет дефолтов в БКИ
98,0.09,234000,HOMEIMPROVEMENT,B,12.18,26,21600,0,0.09141737940382559,Оплачен,Нет дефолтов в БКИ
99,0.05,221004,DEBTCONSOLIDATION,D,14.42,25,11900,1,0.8046777721041579,Дефолт,Были дефолты в БКИ
100,0.11,232500,MEDICAL,C,14.17,26,25000,0,0.07162237870197911,Оплачен,Были дефолты в БКИ
101,0.15,230000,MEDICAL,C,13.99,25,35000,0,0.03377672112570039,Оплачен,Нет дефолтов в БКИ
102,0.3,83000,EDUCATION,B,10.99,23,25300,1,0.1830111855869274,Дефолт,Нет дефолтов в БКИ
103,0.16,12600,PERSONAL,A,5.42,22,2000,1,0.937037037037037,Дефолт,Нет дефолтов в БКИ
104,0.14,12600,PERSONAL,C,13.61,25,1750,0,0.2474319227721257,Оплачен,Нет дефолтов в БКИ
105,0.59,42500,EDUCATION,C,12.73,21,25000,1,0.688526609410429,Дефолт,Были дефолты в БКИ
106,0.61,41000,HOMEIMPROVEMENT,D,11.011694892245036,24,25000,1,0.702623983223307,Дефолт,Нет дефолтов в БКИ
107,0.23,12816,DEBTCONSOLIDATION,C,12.87,25,3000,1,1.0,Дефолт,Были дефолты в БКИ
108,0.28,12960,HOMEIMPROVEMENT,B,9.91,24,3650,1,1.0,Дефолт,Нет дефолтов в БКИ
109,0.09,226000,HOMEIMPROVEMENT,B,11.49,26,20000,0,0.07808896925188605,Оплачен,Нет дефолтов в БКИ
110,0.13,225000,HOMEIMPROVEMENT,E,19.91,25,30000,0,0.2589474652743135,Оплачен,Были дефолты в БКИ
111,0.16,213000,EDUCATION,B,10.65,26,35000,1,0.031556643368456205,Дефолт,Нет дефолтов в БКИ
112,0.03,225000,MEDICAL,B,11.011694892245036,24,6000,0,0.02144153997888564,Оплачен,Нет дефолтов в БКИ
113,0.35,12960,DEBTCONSOLIDATION,B,11.83,24,4500,1,1.0,Дефолт,Нет дефолтов в БКИ
114,0.18,12996,DEBTCONSOLIDATION,C,13.49,23,2400,1,1.0,Дефолт,Были дефолты в БКИ
115,0.6,42000,MEDICAL,D,14.59,22,25000,1,0.9695062062145012,Дефолт,Были дефолты в БКИ
116,0.52,48000,EDUCATION,B,9.64,26,25000,1,0.6340278385182632,Дефолт,Нет дефолтов в БКИ
117,0.28,12996,MEDICAL,D,14.59,25,3600,1,1.0,Дефолт,Нет дефолтов в БКИ
118,0.37,12996,EDUCATION,B,11.011694892245036,22,4750,1,1.0,Дефолт,Нет дефолтов в БКИ
119,0.59,42360,EDUCATION,E,16.35,25,25000,1,0.8703565269418929,Дефолт,Были дефолты в БКИ
120,0.51,49000,EDUCATION,B,10.99,21,25000,1,0.836176398397756,Дефолт,Нет дефолтов в БКИ
121,0.11,225000,VENTURE,F,18.67,25,25000,0,0.19277401156458712,Оплачен,Нет дефолтов в БКИ
122,0.01,225000,EDUCATION,A,9.32,26,3000,0,0.023986693542027378,Оплачен,Нет дефолтов в БКИ
123,0.03,225000,DEBTCONSOLIDATION,A,8.63,23,7500,0,0.008039193958320923,Оплачен,Нет дефолтов в БКИ
124,0.11,225000,VENTURE,B,10.08,26,25000,0,0.0012841091492776886,Оплачен,Нет дефолтов в БКИ
125,0.51,49464,PERSONAL,B,11.83,22,25000,1,0.7321275626977328,Дефолт,Нет дефолтов в БКИ
126,0.5,50000,DEBTCONSOLIDATION,A,7.9,23,25000,1,0.5386927897602146,Дефолт,Нет дефолтов в БКИ
127,0.5,50000,HOMEIMPROVEMENT,A,5.99,25,25000,1,0.2818693956910265,Дефолт,Нет дефолтов в БКИ
128,0.57,44000,DEBTCONSOLIDATION,D,15.33,24,25000,1,0.9925925925925926,Дефолт,Нет дефолтов в БКИ
129,0.5,50000,VENTURE,B,11.83,23,25000,1,0.501729918785827,Дефолт,Нет дефолтов в БКИ
130,0.5,50004,VENTURE,B,10.36,22,25000,1,0.42979857777440855,Дефолт,Нет дефолтов в БКИ
131,0.5,50004,VENTURE,C,12.23,22,25000,1,0.6118771343913219,Дефолт,Нет дефолтов в БКИ
132,0.48,52000,EDUCATION,B,11.11,22,25000,1,0.5796763672839917,Дефолт,Нет дефолтов в БКИ
133,0.38,13200,DEBTCONSOLIDATION,A,7.9,23,4950,1,1.0,Дефолт,Нет дефолтов в БКИ
134,0.11,220000,EDUCATION,B,11.58,24,25000,0,0.06814312927349292,Оплачен,Нет дефолтов в БКИ
135,0.1,216000,DEBTCONSOLIDATION,A,8.9,23,21000,0,0.018988495641024554,Оплачен,Нет дефолтов в БКИ
136,0.12,216000,EDUCATION,D,16.07,25,25000,0,0.11885893976503799,Оплачен,Нет дефолтов в БКИ
137,0.09,216000,EDUCATION,C,14.22,26,20000,0,0.030433537990211014,Оплачен,Были дефолты в БКИ
138,0.16,215000,MEDICAL,C,14.79,23,35000,0,0.03377672112570039,Оплачен,Были дефолты в БКИ
139,0.06,215000,EDUCATION,A,7.88,26,12000,0,0.0037174652668443323,Оплачен,Нет дефолтов в БКИ
140,0.48,52000,PERSONAL,C,13.22,23,25000,1,0.7600784938026257,Дефолт,Нет дефолтов в БКИ
141,0.54,46000,DEBTCONSOLIDATION,D,11.86,26,25000,1,0.9308240356718654,Дефолт,Нет дефолтов в БКИ
142,0.47,53000,EDUCATION,C,13.43,22,25000,1,0.7097163023928852,Дефолт,Были дефолты в БКИ
143,0.53,47000,HOMEIMPROVEMENT,D,15.28,26,25000,1,0.9175662818296662,Дефолт,Были дефолты в БКИ
144,0.53,47000,VENTURE,E,17.93,23,25000,1,0.8962096332785988,Дефолт,Нет дефолтов в БКИ
145,0.11,13200,EDUCATION,B,9.25,23,1400,0,0.431401285313499,Оплачен,Нет дефолтов в БКИ
146,0.34,13200,VENTURE,C,12.98,21,4500,1,1.0,Дефолт,Нет дефолтов в БКИ
147,0.08,210000,VENTURE,B,10.62,22,16000,0,0.0,Оплачен,Нет дефолтов в БКИ
148,0.1,210000,PERSONAL,B,11.83,26,22000,0,0.02071287890804792,Оплачен,Нет дефолтов в БКИ
149,0.52,48000,VENTURE,F,18.43,26,25000,1,0.8373903592477132,Дефолт,Нет дефолтов в БКИ
150,0.45,54996,EDUCATION,B,11.011694892245036,22,25000,1,0.6334186699270118,Дефолт,Нет дефолтов в БКИ
151,0.45,55000,HOMEIMPROVEMENT,D,11.011694892245036,24,25000,1,0.6900803457094317,Дефолт,Были дефолты в БКИ
152,0.45,55000,EDUCATION,B,11.36,23,25000,1,0.5675239465914366,Дефолт,Нет дефолтов в БКИ
153,0.45,55000,EDUCATION,D,15.65,23,25000,1,0.6564823898895303,Дефолт,Были дефолты в БКИ
154,0.45,55164,PERSONAL,C,13.22,24,25000,1,0.7219897668589589,Дефолт,Были дефолты в БКИ
155,0.45,56000,DEBTCONSOLIDATION,C,12.87,26,25000,1,0.7486782574381889,Дефолт,Нет дефолтов в БКИ
156,0.1,203500,MEDICAL,C,13.04,24,20000,0,0.057653248643134314,Оплачен,Нет дефолтов в БКИ
157,0.12,190000,EDUCATION,F,17.58,23,22000,1,0.6178454969781999,Дефолт,Были дефолты в БКИ
158,0.56,13920,PERSONAL,E,17.04,23,7750,1,1.0,Дефолт,Нет дефолтов в БКИ
159,0.42,60000,PERSONAL,B,10.99,24,25000,1,0.7422503280763693,Дефолт,Нет дефолтов в БКИ
160,0.42,60000,PERSONAL,B,11.11,24,25000,1,0.6334186699270118,Дефолт,Нет дефолтов в БКИ
161,0.46,54000,DEBTCONSOLIDATION,D,14.83,26,25000,1,0.9925925925925926,Дефолт,Были дефолты в БКИ
162,0.29,14000,DEBTCONSOLIDATION,D,11.011694892245036,23,4000,1,1.0,Дефолт,Нет дефолтов в БКИ
163,0.06,200000,MEDICAL,B,12.69,24,12000,0,0.03993067715087402,Оплачен,Нет дефолтов в БКИ
164,0.06,200000,HOMEIMPROVEMENT,C,13.49,24,12000,0,0.026528127701102855,Оплачен,Нет дефолтов в БКИ
165,0.08,200000,EDUCATION,C,14.65,21,16000,0,0.01382780033507081,Оплачен,Нет дефолтов в БКИ
166,0.46,54000,HOMEIMPROVEMENT,E,16.82,25,25000,1,0.9592592592592591,Дефолт,Нет дефолтов в БКИ
167,0.42,60000,PERSONAL,C,12.73,23,25000,1,0.6666825478042583,Дефолт,Нет дефолтов в БКИ
168,0.42,60000,PERSONAL,B,10.25,23,25000,1,0.7273427055392581,Дефолт,Нет дефолтов в БКИ
169,0.42,60000,EDUCATION,B,10.99,21,25000,1,0.6802065799741512,Дефолт,Нет дефолтов в БКИ
170,0.4,61959,MEDICAL,C,12.73,25,25000,1,0.6835530088956332,Дефолт,Нет дефолтов в БКИ
171,0.44,56400,HOMEIMPROVEMENT,D,14.96,22,25000,1,0.7679883461592854,Дефолт,Были дефолты в БКИ
172,0.14,200000,EDUCATION,A,11.011694892245036,23,28000,0,0.013059660911469203,Оплачен,Нет дефолтов в БКИ
173,0.13,200000,DEBTCONSOLIDATION,C,13.99,21,25000,0,0.023929512487476705,Оплачен,Нет дефолтов в БКИ
174,0.12,200000,VENTURE,A,7.49,24,24000,0,0.0,Оплачен,Нет дефолтов в БКИ
175,0.07,200000,EDUCATION,C,14.79,26,15000,0,0.01382780033507081,Оплачен,Нет дефолтов в БКИ
176,0.08,200000,DEBTCONSOLIDATION,B,11.99,25,15500,0,0.028493973435411102,Оплачен,Нет дефолтов в БКИ
177,0.05,200000,EDUCATION,A,8.49,24,10000,0,0.00301571088087942,Оплачен,Нет дефолтов в БКИ
178,0.38,66000,EDUCATION,B,9.91,24,25000,1,0.5334525872854239,Дефолт,Нет дефолтов в БКИ
179,0.38,66000,EDUCATION,C,13.06,22,25000,1,0.6116498400104133,Дефолт,Были дефолты в БКИ
180,0.04,200000,DEBTCONSOLIDATION,A,6.17,22,9000,0,0.0,Оплачен,Нет дефолтов в БКИ
181,0.09,200000,EDUCATION,D,16.32,25,18000,0,0.051602834737719226,Оплачен,Нет дефолтов в БКИ
182,0.06,200000,VENTURE,B,10.38,25,12000,0,0.0,Оплачен,Нет дефолтов в БКИ
183,0.12,200000,PERSONAL,C,14.35,25,23050,0,0.009712266273459658,Оплачен,Нет дефолтов в БКИ
184,0.1,200000,DEBTCONSOLIDATION,B,11.011694892245036,24,20000,0,0.035765137713962634,Оплачен,Нет дефолтов в БКИ
185,0.42,60000,DEBTCONSOLIDATION,E,11.011694892245036,24,25000,1,0.9340079759146294,Дефолт,Были дефолты в БКИ
186,0.21,14400,HOMEIMPROVEMENT,B,11.011694892245036,21,3000,1,1.0,Дефолт,Нет дефолтов в БКИ
187,0.37,66996,PERSONAL,D,15.21,26,25000,1,0.6285493875920428,Дефолт,Были дефолты в БКИ
188,0.37,67000,EDUCATION,A,7.9,23,25000,1,0.5221281497424879,Дефолт,Нет дефолтов в БКИ
189,0.37,67000,VENTURE,B,10.99,24,25000,1,0.4946258385380523,Дефолт,Нет дефолтов в БКИ
190,0.37,68000,PERSONAL,D,14.09,24,25000,1,0.6165522459910259,Дефолт,Были дефолты в БКИ
191,0.36,69000,PERSONAL,D,17.49,25,25000,1,0.8560818056470231,Дефолт,Нет дефолтов в БКИ
192,0.06,200000,EDUCATION,B,11.48,25,12000,0,0.01188506020744518,Оплачен,Нет дефолтов в БКИ
193,0.11,188000,VENTURE,E,17.74,26,20000,1,0.4776688324262205,Дефолт,Нет дефолтов в БКИ
194,0.01,200000,PERSONAL,C,13.92,26,3000,0,0.0063438452208280805,Оплачен,Нет дефолтов в БКИ
195,0.36,69996,EDUCATION,D,15.21,25,25000,1,0.6351599645151197,Дефолт,Нет дефолтов в БКИ
196,0.28,14400,MEDICAL,B,10.99,22,4000,1,1.0,Дефолт,Нет дефолтов в БКИ
197,0.36,70000,EDUCATION,B,11.86,24,25000,1,0.42489405673018277,Дефолт,Нет дефолтов в БКИ
198,0.42,14400,PERSONAL,A,7.49,24,6000,1,1.0,Дефолт,Нет дефолтов в БКИ
199,0.38,56100,MEDICAL,D,16.49,24,25000,1,0.9762803234501348,Дефолт,Нет дефолтов в БКИ
200,0.38,66000,VENTURE,D,15.33,25,25000,1,0.7483449813696643,Дефолт,Были дефолты в БКИ
201,0.38,66000,HOMEIMPROVEMENT,B,11.58,26,25000,1,0.6007814350597857,Дефолт,Нет дефолтов в БКИ
202,0.37,14400,EDUCATION,A,5.79,25,5375,1,1.0,Дефолт,Нет дефолтов в БКИ
203,0.34,72612,MEDICAL,C,13.11,25,25000,1,0.6915845897257584,Дефолт,Нет дефолтов в БКИ
204,0.34,74000,MEDICAL,B,10.36,23,25000,1,0.6011410449657648,Дефолт,Нет дефолтов в БКИ
205,0.33,75000,DEBTCONSOLIDATION,B,10.36,25,25000,1,0.4751514778442897,Дефолт,Нет дефолтов в БКИ
206,0.11,192000,MEDICAL,C,11.011694892245036,24,22000,0,0.05068839515253128,Оплачен,Были дефолты в БКИ
207,0.05,191000,MEDICAL,B,12.53,25,10000,0,0.03481978780326884,Оплачен,Нет дефолтов в БКИ
208,0.08,190300,PERSONAL,A,11.011694892245036,26,15000,0,0.016165708999654145,Оплачен,Нет дефолтов в БКИ
209,0.05,190000,VENTURE,C,11.011694892245036,22,10000,0,0.01325700742460519,Оплачен,Нет дефолтов в БКИ
210,0.33,75000,EDUCATION,B,10.25,24,25000,1,0.42063982686566037,Дефолт,Нет дефолтов в БКИ
211,0.35,71000,EDUCATION,D,15.95,22,25000,1,0.5179315483713197,Дефолт,Были дефолты в БКИ
212,0.11,190000,VENTURE,B,12.18,26,20000,0,0.0012841091492776886,Оплачен,Нет дефолтов в БКИ
213,0.13,189996,PERSONAL,B,11.83,23,24000,0,0.05600486072042475,Оплачен,Нет дефолтов в БКИ
214,0.32,78000,DEBTCONSOLIDATION,C,11.011694892245036,23,25000,1,0.6464278855590363,Дефолт,Были дефолты в БКИ
215,0.32,78000,VENTURE,B,10.62,23,25000,1,0.54793984068617,Дефолт,Нет дефолтов в БКИ
216,0.32,78504,VENTURE,B,10.74,23,25000,1,0.5452090656298807,Дефолт,Нет дефолтов в БКИ
217,0.05,186000,VENTURE,B,10.25,25,10000,0,0.0,Оплачен,Нет дефолтов в БКИ
218,0.19,185000,EDUCATION,B,12.42,24,35000,0,0.01788795071101066,Оплачен,Нет дефолтов в БКИ
219,0.08,185000,VENTURE,C,15.27,25,15000,0,0.016585141764553852,Оплачен,Нет дефолтов в БКИ
220,0.34,62050,MEDICAL,D,15.33,24,25000,1,0.9254548630080416,Дефолт,Были дефолты в БКИ
221,0.31,79416,VENTURE,D,15.21,23,25000,1,0.673625136690573,Дефолт,Были дефолты в БКИ
222,0.43,14400,VENTURE,C,14.72,21,6250,1,1.0,Дефолт,Нет дефолтов в БКИ
223,0.31,79631,PERSONAL,D,15.7,24,25000,1,0.6569452153507804,Дефолт,Были дефолты в БКИ
224,0.31,79632,EDUCATION,C,13.35,24,25000,1,0.6251387310882137,Дефолт,Нет дефолтов в БКИ
225,0.1,14400,MEDICAL,C,11.011694892245036,21,1500,0,0.1332423153599624,Оплачен,Нет дефолтов в БКИ
226,0.31,80000,EDUCATION,A,6.62,24,25000,1,0.39709463093421116,Дефолт,Нет дефолтов в БКИ
227,0.31,80000,DEBTCONSOLIDATION,C,13.61,26,25000,1,0.4829317539520905,Дефолт,Нет дефолтов в БКИ
228,0.14,185000,MEDICAL,B,11.36,22,25000,0,0.08467153163588927,Оплачен,Нет дефолтов в БКИ
229,0.03,185000,PERSONAL,A,7.68,26,5000,0,0.0019858635352426007,Оплачен,Нет дефолтов в БКИ
230,0.12,184992,HOMEIMPROVEMENT,D,14.46,24,22000,0,0.2412816547405411,Оплачен,Были дефолты в БКИ
231,0.01,184000,EDUCATION,B,11.83,23,2500,0,0.012099344334260773,Оплачен,Нет дефолтов в БКИ
232,0.12,172000,DEBTCONSOLIDATION,C,13.47,24,20000,1,0.12324760858268362,Дефолт,Были дефолты в БКИ
233,0.11,183000,MEDICAL,B,11.49,24,20000,0,0.14334405371811484,Оплачен,Нет дефолтов в БКИ
234,0.01,183000,EDUCATION,A,11.011694892245036,22,1000,0,0.00301571088087942,Оплачен,Нет дефолтов в БКИ
