,loan_percent_income,person_income,loan_intent,loan_grade,cb_person_default_on_file,loan_int_rate,person_age,loan_amnt,default
58,0.15,12000,VENTURE,E,1,11.011694892245037,24,1750,0
59,0.23,131000,VENTURE,A,0,5.99,21,30000,0
60,0.04,275000,VENTURE,B,0,11.58,22,12000,0
61,0.04,263000,EDUCATION,B,0,11.011694892245037,26,10000,1
62,0.1,221850,MEDICAL,D,0,15.7,25,25000,1
63,0.42,70000,EDUCATION,D,0,15.99,22,29100,1
64,0.13,12000,EDUCATION,D,1,14.84,22,1500,0
65,0.11,260000,HOMEIMPROVEMENT,B,0,10.99,26,28000,0
66,0.08,259000,HOMEIMPROVEMENT,D,1,14.42,25,20000,0
67,0.04,255000,EDUCATION,A,0,6.99,24,9600,0
68,0.1,250000,MEDICAL,C,0,13.49,25,25000,0
69,0.25,12000,MEDICAL,C,0,11.011694892245037,25,3000,1
70,0.49,56950,MEDICAL,A,0,11.011694892245037,22,28000,1
71,0.25,12000,EDUCATION,C,1,13.61,21,3000,1
72,0.43,65000,EDUCATION,A,0,7.9,23,28000,1
73,0.33,85000,VENTURE,A,0,7.49,26,28000,1
74,0.51,12000,EDUCATION,A,0,7.51,26,6100,1
75,0.32,88000,VENTURE,B,0,9.91,22,28000,1
76,0.35,12000,PERSONAL,C,1,13.48,21,4200,1
77,0.4,12000,DEBTCONSOLIDATION,A,0,7.14,22,4750,1
78,0.34,83004,VENTURE,D,1,15.99,24,28000,1
79,0.07,250000,EDUCATION,C,1,12.98,24,18000,0
80,0.28,100000,DEBTCONSOLIDATION,B,0,12.69,25,28000,0
81,0.25,110000,EDUCATION,A,0,8.9,26,28000,0
82,0.23,12000,DEBTCONSOLIDATION,A,0,11.011694892245037,26,2700,1
83,0.26,108000,EDUCATION,B,0,11.011694892245037,22,28000,1
84,0.19,151200,DEBTCONSOLIDATION,B,0,11.11,23,28000,0
85,0.4,69000,HOMEIMPROVEMENT,A,0,11.011694892245037,24,27600,1
86,0.27,12000,DEBTCONSOLIDATION,E,1,15.68,21,3250,1
87,0.39,70000,EDUCATION,C,1,13.06,22,27500,1
88,0.1,240000,PERSONAL,B,0,11.011694892245037,22,25000,0
89,0.37,73200,VENTURE,D,1,15.62,26,27050,1
90,0.33,83000,PERSONAL,C,1,13.49,24,27000,1
91,0.37,73399,VENTURE,D,0,11.011694892245037,24,27000,1
92,0.42,62500,MEDICAL,B,0,11.71,23,26000,1
93,0.21,120000,EDUCATION,B,0,12.69,23,25600,0
94,0.13,12360,MEDICAL,C,0,13.57,24,1600,0
95,0.42,60000,VENTURE,B,0,10.99,22,25475,1
96,0.09,234000,MEDICAL,C,1,14.27,25,20000,0
97,0.09,234000,HOMEIMPROVEMENT,B,0,8.88,24,20000,0
98,0.09,234000,HOMEIMPROVEMENT,B,0,12.18,26,21600,0
99,0.05,221004,DEBTCONSOLIDATION,D,1,14.42,25,11900,1
100,0.11,232500,MEDICAL,C,1,14.17,26,25000,0
101,0.15,230000,MEDICAL,C,0,13.99,25,35000,0
102,0.3,83000,EDUCATION,B,0,10.99,23,25300,1
103,0.16,12600,PERSONAL,A,0,5.42,22,2000,1
104,0.14,12600,PERSONAL,C,0,13.61,25,1750,0
105,0.59,42500,EDUCATION,C,1,12.73,21,25000,1
106,0.61,41000,HOMEIMPROVEMENT,D,0,11.011694892245037,24,25000,1
107,0.23,12816,DEBTCONSOLIDATION,C,1,12.87,25,3000,1
108,0.28,12960,HOMEIMPROVEMENT,B,0,9.91,24,3650,1
109,0.09,226000,HOMEIMPROVEMENT,B,0,11.49,26,20000,0
110,0.13,225000,HOMEIMPROVEMENT,E,1,19.91,25,30000,0
111,0.16,213000,EDUCATION,B,0,10.65,26,35000,1
112,0.03,225000,MEDICAL,B,0,11.011694892245037,24,6000,0
113,0.35,12960,DEBTCONSOLIDATION,B,0,11.83,24,4500,1
114,0.18,12996,DEBTCONSOLIDATION,C,1,13.49,23,2400,1
115,0.6,42000,MEDICAL,D,1,14.59,22,25000,1
116,0.52,48000,EDUCATION,B,0,9.64,26,25000,1
117,0.28,12996,MEDICAL,D,0,14.59,25,3600,1
118,0.37,12996,EDUCATION,B,0,11.011694892245037,22,4750,1
119,0.59,42360,EDUCATION,E,1,16.35,25,25000,1
120,0.51,49000,EDUCATION,B,0,10.99,21,25000,1
121,0.11,225000,VENTURE,F,0,18.67,25,25000,0
122,0.01,225000,EDUCATION,A,0,9.32,26,3000,0
123,0.03,225000,DEBTCONSOLIDATION,A,0,8.63,23,7500,0
124,0.11,225000,VENTURE,B,0,10.08,26,25000,0
125,0.51,49464,PERSONAL,B,0,11.83,22,25000,1
126,0.5,50000,DEBTCONSOLIDATION,A,0,7.9,23,25000,1
127,0.5,50000,HOMEIMPROVEMENT,A,0,5.99,25,25000,1
128,0.57,44000,DEBTCONSOLIDATION,D,0,15.33,24,25000,1
129,0.5,50000,VENTURE,B,0,11.83,23,25000,1
130,0.5,50004,VENTURE,B,0,10.36,22,25000,1
131,0.5,50004,VENTURE,C,0,12.23,22,25000,1
132,0.48,52000,EDUCATION,B,0,11.11,22,25000,1
133,0.38,13200,DEBTCONSOLIDATION,A,0,7.9,23,4950,1
134,0.11,220000,EDUCATION,B,0,11.58,24,25000,0
135,0.1,216000,DEBTCONSOLIDATION,A,0,8.9,23,21000,0
136,0.12,216000,EDUCATION,D,0,16.07,25,25000,0
137,0.09,216000,EDUCATION,C,1,14.22,26,20000,0
138,0.16,215000,MEDICAL,C,1,14.79,23,35000,0
139,0.06,215000,EDUCATION,A,0,7.88,26,12000,0
140,0.48,52000,PERSONAL,C,0,13.22,23,25000,1
141,0.54,46000,DEBTCONSOLIDATION,D,0,11.86,26,25000,1
142,0.47,53000,EDUCATION,C,1,13.43,22,25000,1
143,0.53,47000,HOMEIMPROVEMENT,D,1,15.28,26,25000,1
144,0.53,47000,VENTURE,E,0,17.93,23,25000,1
145,0.11,13200,EDUCATION,B,0,9.25,23,1400,0
146,0.34,13200,VENTURE,C,0,12.98,21,4500,1
147,0.08,210000,VENTURE,B,0,10.62,22,16000,0
148,0.1,210000,PERSONAL,B,0,11.83,26,22000,0
149,0.52,48000,VENTURE,F,0,18.43,26,25000,1
150,0.45,54996,EDUCATION,B,0,11.011694892245037,22,25000,1
151,0.45,55000,HOMEIMPROVEMENT,D,1,11.011694892245037,24,25000,1
152,0.45,55000,EDUCATION,B,0,11.36,23,25000,1
153,0.45,55000,EDUCATION,D,1,15.65,23,25000,1
154,0.45,55164,PERSONAL,C,1,13.22,24,25000,1
155,0.45,56000,DEBTCONSOLIDATION,C,0,12.87,26,25000,1
156,0.1,203500,MEDICAL,C,0,13.04,24,20000,0
157,0.12,190000,EDUCATION,F,1,17.58,23,22000,1
158,0.56,13920,PERSONAL,E,0,17.04,23,7750,1
159,0.42,60000,PERSONAL,B,0,10.99,24,25000,1
160,0.42,60000,PERSONAL,B,0,11.11,24,25000,1
161,0.46,54000,DEBTCONSOLIDATION,D,1,14.83,26,25000,1
162,0.29,14000,DEBTCONSOLIDATION,D,0,11.011694892245037,23,4000,1
163,0.06,200000,MEDICAL,B,0,12.69,24,12000,0
164,0.06,200000,HOMEIMPROVEMENT,C,0,13.49,24,12000,0
165,0.08,200000,EDUCATION,C,0,14.65,21,16000,0
166,0.46,54000,HOMEIMPROVEMENT,E,0,16.82,25,25000,1
167,0.42,60000,PERSONAL,C,0,12.73,23,25000,1
168,0.42,60000,PERSONAL,B,0,10.25,23,25000,1
169,0.42,60000,EDUCATION,B,0,10.99,21,25000,1
170,0.4,61959,MEDICAL,C,0,12.73,25,25000,1
171,0.44,56400,HOMEIMPROVEMENT,D,1,14.96,22,25000,1
172,0.14,200000,EDUCATION,A,0,11.011694892245037,23,28000,0
173,0.13,200000,DEBTCONSOLIDATION,C,0,13.99,21,25000,0
174,0.12,200000,VENTURE,A,0,7.49,24,24000,0
175,0.07,200000,EDUCATION,C,0,14.79,26,15000,0
176,0.08,200000,DEBTCONSOLIDATION,B,0,11.99,25,15500,0
177,0.05,200000,EDUCATION,A,0,8.49,24,10000,0
178,0.38,66000,EDUCATION,B,0,9.91,24,25000,1
179,0.38,66000,EDUCATION,C,1,13.06,22,25000,1
180,0.04,200000,DEBTCONSOLIDATION,A,0,6.17,22,9000,0
181,0.09,200000,EDUCATION,D,0,16.32,25,18000,0
182,0.06,200000,VENTURE,B,0,10.38,25,12000,0
183,0.12,200000,PERSONAL,C,0,14.35,25,23050,0
184,0.1,200000,DEBTCONSOLIDATION,B,0,11.011694892245037,24,20000,0
185,0.42,60000,DEBTCONSOLIDATION,E,1,11.011694892245037,24,25000,1
186,0.21,14400,HOMEIMPROVEMENT,B,0,11.011694892245037,21,3000,1
187,0.37,66996,PERSONAL,D,1,15.21,26,25000,1
188,0.37,67000,EDUCATION,A,0,7.9,23,25000,1
189,0.37,67000,VENTURE,B,0,10.99,24,25000,1
190,0.37,68000,PERSONAL,D,1,14.09,24,25000,1
191,0.36,69000,PERSONAL,D,0,17.49,25,25000,1
192,0.06,200000,EDUCATION,B,0,11.48,25,12000,0
193,0.11,188000,VENTURE,E,0,17.74,26,20000,1
194,0.01,200000,PERSONAL,C,0,13.92,26,3000,0
195,0.36,69996,EDUCATION,D,0,15.21,25,25000,1
196,0.28,14400,MEDICAL,B,0,10.99,22,4000,1
197,0.36,70000,EDUCATION,B,0,11.86,24,25000,1
198,0.42,14400,PERSONAL,A,0,7.49,24,6000,1
199,0.38,56100,MEDICAL,D,0,16.49,24,25000,1
200,0.38,66000,VENTURE,D,1,15.33,25,25000,1
201,0.38,66000,HOMEIMPROVEMENT,B,0,11.58,26,25000,1
202,0.37,14400,EDUCATION,A,0,5.79,25,5375,1
203,0.34,72612,MEDICAL,C,0,13.11,25,25000,1
204,0.34,74000,MEDICAL,B,0,10.36,23,25000,1
205,0.33,75000,DEBTCONSOLIDATION,B,0,10.36,25,25000,1
206,0.11,192000,MEDICAL,C,1,11.011694892245037,24,22000,0
207,0.05,191000,MEDICAL,B,0,12.53,25,10000,0
208,0.08,190300,PERSONAL,A,0,11.011694892245037,26,15000,0
209,0.05,190000,VENTURE,C,0,11.011694892245037,22,10000,0
210,0.33,75000,EDUCATION,B,0,10.25,24,25000,1
211,0.35,71000,EDUCATION,D,1,15.95,22,25000,1
212,0.11,190000,VENTURE,B,0,12.18,26,20000,0
213,0.13,189996,PERSONAL,B,0,11.83,23,24000,0
214,0.32,78000,DEBTCONSOLIDATION,C,1,11.011694892245037,23,25000,1
215,0.32,78000,VENTURE,B,0,10.62,23,25000,1
216,0.32,78504,VENTURE,B,0,10.74,23,25000,1
217,0.05,186000,VENTURE,B,0,10.25,25,10000,0
218,0.19,185000,EDUCATION,B,0,12.42,24,35000,0
219,0.08,185000,VENTURE,C,0,15.27,25,15000,0
220,0.34,62050,MEDICAL,D,1,15.33,24,25000,1
221,0.31,79416,VENTURE,D,1,15.21,23,25000,1
222,0.43,14400,VENTURE,C,0,14.72,21,6250,1
223,0.31,79631,PERSONAL,D,1,15.7,24,25000,1
224,0.31,79632,EDUCATION,C,0,13.35,24,25000,1
225,0.1,14400,MEDICAL,C,0,11.011694892245037,21,1500,0
226,0.31,80000,EDUCATION,A,0,6.62,24,25000,1
227,0.31,80000,DEBTCONSOLIDATION,C,0,13.61,26,25000,1
228,0.14,185000,MEDICAL,B,0,11.36,22,25000,0
229,0.03,185000,PERSONAL,A,0,7.68,26,5000,0
230,0.12,184992,HOMEIMPROVEMENT,D,1,14.46,24,22000,0
231,0.01,184000,EDUCATION,B,0,11.83,23,2500,0
232,0.12,172000,DEBTCONSOLIDATION,C,1,13.47,24,20000,1
233,0.11,183000,MEDICAL,B,0,11.49,24,20000,0
234,0.01,183000,EDUCATION,A,0,11.011694892245037,22,1000,0
235,0.08,182952,PERSONAL,A,0,6.03,25,15000,0
236,0.34,74004,DEBTCONSOLIDATION,E,0,16.35,23,25000,1
237,0.34,74004,DEBTCONSOLIDATION,D,1,11.011694892245037,26,25000,1
238,0.31,81000,DEBTCONSOLIDATION,A,0,7.29,25,25000,1
239,0.31,81600,MEDICAL,B,0,11.36,23,25000,1
240,0.3,82000,VENTURE,B,0,10.25,24,25000,0
241,0.3,83000,EDUCATION,B,0,11.12,24,25000,0
242,0.3,83000,PERSONAL,D,1,12.92,24,25000,0
243,0.1,180000,EDUCATION,E,1,18.64,24,18000,0
244,0.16,180000,PERSONAL,A,0,7.51,23,28000,0
245,0.28,14400,HOMEIMPROVEMENT,E,0,16.7,23,4000,1
246,0.15,14400,PERSONAL,B,0,11.14,22,2100,0
247,0.3,84500,PERSONAL,F,0,18.3,22,25000,0
248,0.29,85000,MEDICAL,B,0,10.62,24,25000,0
249,0.08,180000,VENTURE,B,0,11.99,24,14000,0
250,0.07,180000,VENTURE,B,0,9.63,26,12000,0
251,0.06,142800,MEDICAL,F,0,18.25,25,10000,1
252,0.41,14664,DEBTCONSOLIDATION,C,0,11.011694892245037,23,6000,1
253,0.29,87000,HOMEIMPROVEMENT,D,0,14.84,24,25000,0
254,0.33,75000,VENTURE,E,1,14.7,24,25000,1
255,0.33,76000,DEBTCONSOLIDATION,D,0,16.02,23,25000,1
256,0.32,66215,MEDICAL,D,1,15.37,23,25000,1
257,0.28,90000,MEDICAL,B,0,10.99,25,25000,0
258,0.41,15000,HOMEIMPROVEMENT,A,0,7.9,21,6200,1
259,0.14,180000,PERSONAL,B,0,10.99,26,25000,0
260,0.12,180000,EDUCATION,B,0,11.48,24,21000,0
261,0.11,180000,MEDICAL,C,1,14.26,25,20000,0
262,0.06,180000,HOMEIMPROVEMENT,A,0,8.0,26,10000,0
263,0.06,180000,VENTURE,B,0,11.26,25,9950,0
264,0.3,15000,MEDICAL,B,0,11.011694892245037,23,4475,1
265,0.32,78000,VENTURE,D,1,16.32,23,25000,1
266,0.32,66300,MEDICAL,E,1,17.93,25,25000,1
267,0.28,90000,DEBTCONSOLIDATION,B,0,11.36,23,25000,0
268,0.32,79000,DEBTCONSOLIDATION,D,1,14.96,24,25000,1
269,0.27,91800,PERSONAL,C,1,13.43,24,25000,0
270,0.27,92000,HOMEIMPROVEMENT,B,0,12.69,25,25000,0
271,0.27,92000,VENTURE,C,1,12.73,24,25000,0
272,0.27,93600,VENTURE,D,0,15.21,23,25000,0
273,0.12,15000,MEDICAL,C,1,12.68,23,1750,0
274,0.3,70550,MEDICAL,F,1,19.04,23,25000,1
275,0.3,83800,DEBTCONSOLIDATION,D,1,15.95,25,25000,1
276,0.01,175000,VENTURE,A,0,8.9,26,2600,0
277,0.05,175000,HOMEIMPROVEMENT,A,0,7.9,25,8000,0
278,0.1,175000,EDUCATION,B,0,11.011694892245037,22,18000,0
279,0.12,175000,PERSONAL,B,0,11.99,23,21000,0
280,0.27,15000,DEBTCONSOLIDATION,C,0,13.98,23,4000,1
281,0.31,15000,VENTURE,B,0,10.99,23,4600,1
282,0.28,88000,DEBTCONSOLIDATION,D,1,15.58,22,25000,1
283,0.28,74800,MEDICAL,B,0,10.99,25,25000,1
284,0.28,88000,VENTURE,D,0,14.96,25,25000,1
285,0.12,15000,HOMEIMPROVEMENT,D,1,15.31,25,1750,0
286,0.28,88000,VENTURE,D,0,15.65,26,25000,1
287,0.25,100000,VENTURE,B,0,9.33,25,25000,0
288,0.24,15000,PERSONAL,C,0,13.47,23,3600,1
289,0.24,102400,PERSONAL,B,0,10.36,24,25000,0
290,0.27,92000,HOMEIMPROVEMENT,E,1,16.77,24,25000,1
291,0.27,93000,DEBTCONSOLIDATION,D,1,14.59,23,25000,1
292,0.02,175000,VENTURE,C,1,11.91,22,3500,0
293,0.04,175000,EDUCATION,A,0,8.38,23,7200,0
294,0.05,174708,VENTURE,B,0,10.59,25,9000,0
295,0.05,174000,DEBTCONSOLIDATION,C,0,14.27,25,8800,0
296,0.07,174000,DEBTCONSOLIDATION,B,0,12.53,26,12000,0
297,0.15,162000,DEBTCONSOLIDATION,E,1,16.0,25,25000,1
298,0.06,173467,VENTURE,B,0,11.71,26,10000,0
299,0.21,15000,HOMEIMPROVEMENT,C,1,11.54,21,3175,1
300,0.26,96000,HOMEIMPROVEMENT,E,1,15.68,25,25000,1
301,0.1,15120,EDUCATION,B,0,10.59,21,1500,0
302,0.26,97908,HOMEIMPROVEMENT,D,1,12.61,24,25000,1
303,0.23,110000,PERSONAL,C,1,11.011694892245037,26,25000,0
304,0.18,15204,PERSONAL,A,0,8.49,23,2800,1
305,0.19,159600,PERSONAL,D,1,17.27,25,30000,1
306,0.1,171500,DEBTCONSOLIDATION,A,0,8.9,24,18000,0
307,0.06,170004,MEDICAL,B,0,11.11,25,10000,0
308,0.16,158004,HOMEIMPROVEMENT,D,1,14.59,24,25000,1
309,0.08,170000,VENTURE,B,0,12.42,26,13000,0
310,0.26,83300,MEDICAL,D,0,11.011694892245037,24,25000,1
311,0.23,110000,HOMEIMPROVEMENT,D,1,15.7,24,25000,0
312,0.16,15360,HOMEIMPROVEMENT,B,0,12.53,22,2500,1
313,0.03,134300,MEDICAL,D,0,16.49,25,5000,1
314,0.12,170000,EDUCATION,A,0,7.49,25,20000,0
315,0.25,100580,DEBTCONSOLIDATION,D,1,14.96,22,25000,1
316,0.22,113000,MEDICAL,C,1,12.73,25,25000,0
317,0.21,120000,EDUCATION,B,0,10.65,24,25000,0
318,0.21,120000,MEDICAL,B,0,10.74,25,25000,0
319,0.21,120000,EDUCATION,B,0,9.99,23,25000,0
320,0.23,91800,MEDICAL,D,1,15.33,24,25000,1
321,0.06,15600,VENTURE,A,0,7.29,21,1000,0
322,0.23,108000,PERSONAL,D,0,15.05,26,25000,1
323,0.19,129996,PERSONAL,B,0,10.75,26,25000,0
324,0.19,130000,EDUCATION,D,1,16.02,23,25000,0
325,0.19,130000,VENTURE,B,0,11.49,23,25000,0
326,0.12,170000,EDUCATION,B,0,12.53,25,20000,0
327,0.07,170000,VENTURE,C,1,13.57,26,12000,0
328,0.08,169000,PERSONAL,B,0,11.14,22,14000,0
329,0.14,168750,MEDICAL,C,1,12.87,26,24250,0
330,0.12,168600,EDUCATION,B,0,11.58,23,20000,0
331,0.01,168288,HOMEIMPROVEMENT,B,0,11.12,24,1800,0
332,0.21,168000,PERSONAL,B,0,10.65,25,35000,0
333,0.19,133300,DEBTCONSOLIDATION,B,0,10.37,24,25000,0
334,0.21,15600,HOMEIMPROVEMENT,A,0,6.39,24,3300,1
335,0.19,134000,PERSONAL,D,1,16.07,24,25000,0
336,0.19,134000,MEDICAL,B,0,10.62,25,25000,0
337,0.21,15600,VENTURE,F,0,18.09,25,3200,1
338,0.19,135000,EDUCATION,B,0,11.36,25,25000,0
339,0.18,135660,DEBTCONSOLIDATION,B,0,12.53,26,25000,0
340,0.17,145000,EDUCATION,B,0,9.99,25,25000,0
341,0.17,150000,EDUCATION,B,0,10.36,23,25000,0
342,0.06,165000,EDUCATION,A,0,5.99,23,9600,0
343,0.16,153000,DEBTCONSOLIDATION,D,1,15.62,22,24000,1
344,0.12,165000,PERSONAL,B,0,10.37,24,20000,0
345,0.15,165000,HOMEIMPROVEMENT,F,0,19.74,25,25000,0
346,0.12,165000,EDUCATION,A,0,6.91,21,20000,0
347,0.38,16000,MEDICAL,A,0,7.9,23,6000,1
348,0.14,16000,DEBTCONSOLIDATION,C,1,13.06,23,2275,0
349,0.13,16000,PERSONAL,A,0,6.39,23,2000,0
350,0.17,148000,DEBTCONSOLIDATION,E,0,14.93,23,25000,1
351,0.35,16000,MEDICAL,C,0,12.84,23,5600,1
352,0.23,16020,VENTURE,E,1,17.14,24,3625,1
353,0.34,16094,VENTURE,A,0,7.14,22,5500,1
354,0.14,175000,PERSONAL,A,0,8.9,25,25000,0
355,0.12,16200,PERSONAL,B,0,12.42,22,2000,0
356,0.14,185000,HOMEIMPROVEMENT,C,1,12.68,24,25000,0
357,0.15,162000,PERSONAL,C,0,11.03,25,25000,0
358,0.19,161000,VENTURE,A,0,7.9,26,30000,0
359,0.22,160000,MEDICAL,B,0,10.65,22,35000,0
360,0.11,225000,VENTURE,B,0,11.86,25,25000,0
361,0.3,16400,PERSONAL,A,0,8.94,25,5000,1
362,0.27,16500,VENTURE,B,0,9.63,23,4375,1
363,0.5,49500,PERSONAL,C,0,14.22,25,24750,1
364,0.41,60000,DEBTCONSOLIDATION,B,0,9.33,23,24750,1
365,0.29,84200,MEDICAL,C,0,13.85,24,24500,0
366,0.12,16800,EDUCATION,B,0,10.65,22,2000,0
367,0.27,92000,MEDICAL,B,0,11.46,24,24500,0
368,0.22,160000,PERSONAL,A,0,7.66,23,35000,0
369,0.07,160000,VENTURE,E,0,16.77,24,12000,0
370,0.07,160000,PERSONAL,B,0,9.63,25,12000,0
371,0.16,160000,PERSONAL,C,1,12.23,26,25000,0
372,0.07,125800,MEDICAL,D,0,14.09,25,10000,1
373,0.45,54000,PERSONAL,C,0,13.98,25,24250,1
374,0.39,62500,EDUCATION,B,0,10.62,23,24250,1
375,0.23,16800,DEBTCONSOLIDATION,A,0,11.011694892245037,24,3900,1
376,0.35,68400,PERSONAL,E,0,17.56,25,24250,1
377,0.37,56045,MEDICAL,D,0,14.96,26,24250,1
378,0.33,74000,DEBTCONSOLIDATION,D,1,15.65,22,24250,1
379,0.31,65453,MEDICAL,D,0,15.7,24,24250,1
380,0.27,89908,VENTURE,B,0,12.53,24,24250,0
381,0.31,78000,HOMEIMPROVEMENT,E,1,17.56,26,24250,1
382,0.24,100000,PERSONAL,C,1,12.87,23,24250,0
383,0.24,103000,PERSONAL,D,0,15.7,23,24250,0
384,0.06,160000,EDUCATION,A,0,11.011694892245037,25,9000,0
385,0.09,160000,VENTURE,B,0,11.14,25,15000,0
386,0.13,160000,VENTURE,D,0,16.0,24,20000,0
387,0.16,160000,EDUCATION,D,1,15.65,23,25000,0
388,0.09,160000,DEBTCONSOLIDATION,C,0,11.011694892245037,26,13750,0
389,0.1,160000,VENTURE,D,1,15.31,21,15250,0
390,0.13,160000,VENTURE,C,1,13.47,25,20000,0
391,0.28,16800,HOMEIMPROVEMENT,C,1,13.85,22,4750,1
392,0.22,111996,PERSONAL,D,0,11.011694892245037,25,24250,0
393,0.36,16800,VENTURE,B,0,10.39,21,6000,1
394,0.21,115200,HOMEIMPROVEMENT,B,0,11.36,25,24250,0
395,0.17,144000,EDUCATION,B,0,11.83,23,24250,0
396,0.08,287000,EDUCATION,B,0,12.53,23,24250,0
397,0.22,108000,HOMEIMPROVEMENT,D,1,14.96,22,24150,1
398,0.56,43000,DEBTCONSOLIDATION,C,1,13.85,22,24000,1
399,0.51,47004,VENTURE,B,0,11.58,23,24000,1
400,0.5,48000,VENTURE,D,1,16.29,24,24000,1
401,0.5,48000,MEDICAL,A,0,11.011694892245037,26,24000,1
402,0.53,44964,EDUCATION,D,1,16.29,21,24000,1
403,0.46,52000,PERSONAL,B,0,10.74,25,24000,1
404,0.13,17352,EDUCATION,C,1,15.27,22,2250,0
405,0.51,47000,PERSONAL,F,0,17.8,24,24000,1
406,0.06,17400,VENTURE,B,0,11.36,22,1000,0
407,0.49,49000,MEDICAL,E,0,17.56,22,24000,1
408,0.4,60000,PERSONAL,A,0,7.9,26,24000,1
409,0.4,60000,PERSONAL,B,0,10.99,25,24000,1
410,0.4,60000,PERSONAL,A,0,7.29,22,24000,1
411,0.4,60000,MEDICAL,B,0,10.75,21,24000,1
412,0.39,62004,DEBTCONSOLIDATION,A,0,7.9,26,24000,1
413,0.38,62400,EDUCATION,D,0,14.84,22,24000,1
414,0.37,65000,DEBTCONSOLIDATION,A,0,11.011694892245037,26,24000,1
415,0.28,17760,EDUCATION,C,1,11.011694892245037,22,4975,1
416,0.41,59000,DEBTCONSOLIDATION,E,1,19.69,23,24000,1
417,0.36,66000,VENTURE,A,0,11.011694892245037,23,24000,1
418,0.4,60000,VENTURE,D,0,14.96,24,24000,1
419,0.36,66143,EDUCATION,A,0,6.99,25,24000,1
